model,split_strategy,MAE,RMSE,R2
Random Forest Regression,Chronological Split,1.231959389392714,2.2105115989944273,0.9971421016343223
Decision Tree Regression,Chronological Split,1.6610971410236457,2.652241513497235,0.9958857818019039
Linear Regression,Chronological Split,1.8080941587540602,2.7179670663730686,0.9956793452549455
Random Forest Regression,Random Split,1.6828427063802478,4.188599138469082,0.9946113460827047
Decision Tree Regression,Random Split,2.119275130562921,4.456281465066523,0.9939005886795056
Linear Regression,Random Split,2.1780579462807292,4.644897759606999,0.9933733350602797
Random Forest Regression,Patient-Level Split,1.7190915885428713,5.0584043248757595,0.9896778168933296
Decision Tree Regression,Patient-Level Split,2.162416376216235,5.257783635568315,0.9888480734770424
Linear Regression,Patient-Level Split,1.6778728178529394,6.303408551908827,0.9839714073553852
