model,MAE,RMSE,R2
Baseline Random Forest - Train,0.5438518362159501,1.388945770179188,0.9994079311765234
Baseline Random Forest - Test,1.4788418403159758,3.787735287183695,0.9955934172102654
GridSearchCV Random Forest - Train,0.54385183621595,1.388945770179188,0.9994079311765234
GridSearchCV Random Forest - Test,1.4788418403159755,3.787735287183695,0.9955934172102654
RandomizedSearchCV Random Forest - Train,0.9243614957228938,1.6158705833130345,0.9991986637976442
RandomizedSearchCV Random Forest - Test,1.7317062494961333,3.649768288060045,0.9959085873757825
Tuned Random Forest with Selected Features - Train,0.7596311545137853,1.465263278333337,0.9993410796121681
Tuned Random Forest with Selected Features - Test,1.5080955266632894,3.504146165727697,0.9962285607145182
