feature,importance
glucose_lag_1,0.31860046659313956
glucose_rolling_30min,0.27072670962450435
glucose_lag_3,0.16439954061308645
glucose_rolling_1hr,0.15559903642547626
glucose_lag_6,0.08858749300585896
heart_rate,0.0012601194839621263
calories,0.0008266342539723872
